cst_id,cst_key,cst_firstname,cst_lastname,cst_marital_status,cst_gndr,cst_create_date,dwh_create_date
11191,AW00011191,Kristi,Perez,Single,Unknown,07-10-2025,16:48.4
11192,AW00011192,James,Brown,Married,Unknown,07-10-2025,16:48.4
11193,AW00011193,Ian,Gray,Married,Unknown,07-10-2025,16:48.4
11194,AW00011194,Jacqueline,Price,Married,Unknown,07-10-2025,16:48.4
11195,AW00011195,Megan,Henderson,Married,Unknown,07-10-2025,16:48.4
11196,AW00011196,Alfredo,Romero,Married,Unknown,07-10-2025,16:48.4
11197,AW00011197,Andrea,Morris,Married,Unknown,08-10-2025,16:48.4
11198,AW00011198,Brooke,Sanders,Single,Unknown,08-10-2025,16:48.4
11199,AW00011199,Jacqueline,Bennett,Married,Unknown,08-10-2025,16:48.4
11200,AW00011200,Jason,Griffin,Married,Unknown,08-10-2025,16:48.4
11201,AW00011201,Amanda,Foster,Married,Unknown,08-10-2025,16:48.4
11202,AW00011202,Alexia,Price,Married,Unknown,08-10-2025,16:48.4
11203,AW00011203,Luis,Diaz,Married,Unknown,08-10-2025,16:48.4
11204,AW00011204,Destiny,Rivera,Married,Unknown,08-10-2025,16:48.4
11205,AW00011205,Abby,Fernandez,Married,Unknown,08-10-2025,16:48.4
11206,AW00011206,Blake,Flores,Married,Unknown,08-10-2025,16:48.4
11207,AW00011207,Danielle,Cox,Single,Unknown,08-10-2025,16:48.4
11208,AW00011208,Maria,Reed,Married,Unknown,08-10-2025,16:48.4
11209,AW00011209,Allison,Evans,Married,Unknown,08-10-2025,16:48.4
11210,AW00011210,Edward,Wood,Married,Unknown,08-10-2025,16:48.4
11211,AW00011211,Samantha,Russell,Married,Unknown,08-10-2025,16:48.4
11212,AW00011212,Chloe,Campbell,Married,Unknown,08-10-2025,16:48.4
11213,AW00011213,Stephanie,Murphy,Single,Unknown,08-10-2025,16:48.4
11214,AW00011214,Charles,Miller,Single,Unknown,08-10-2025,16:48.4
11215,AW00011215,Ana,Perry,Married,Unknown,08-10-2025,16:48.4
11216,AW00011216,Jasmine,Torres,Single,Unknown,08-10-2025,16:48.4
11217,AW00011217,Natalie,Adams,Single,Unknown,08-10-2025,16:48.4
11218,AW00011218,Olivia,Brown,Single,Unknown,08-10-2025,16:48.4
11219,AW00011219,Charles,Cook,Married,Unknown,08-10-2025,16:48.4
11220,AW00011220,Erica,Huang,Married,Unknown,08-10-2025,16:48.4
11221,AW00011221,Nathan,Perry,Married,Unknown,08-10-2025,16:48.4
11222,AW00011222,Alexandra,Rivera,Married,Unknown,08-10-2025,16:48.4
11223,AW00011223,Hailey,Patterson,Single,Unknown,08-10-2025,16:48.4
11224,AW00011224,Tiffany,Li,Single,Unknown,08-10-2025,16:48.4
11225,AW00011225,Madison,Lee,Married,Unknown,08-10-2025,16:48.4
11226,AW00011226,Sydney,Ross,Married,Unknown,08-10-2025,16:48.4
11227,AW00011227,Marshall,Chavez,Single,Unknown,08-10-2025,16:48.4
11228,AW00011228,Ashley,Jones,Married,Unknown,08-10-2025,16:48.4
11229,AW00011229,Adrian,Stewart,Single,Unknown,08-10-2025,16:48.4
11230,AW00011230,Amber,Turner,Married,Unknown,08-10-2025,16:48.4
11231,AW00011231,Dennis,Zhang,Married,Unknown,08-10-2025,16:48.4
11232,AW00011232,Hailey,Bryant,Married,Unknown,08-10-2025,16:48.4
11233,AW00011233,Todd,Li,Married,Unknown,08-10-2025,16:48.4
11234,AW00011234,Anna,Griffin,Single,Unknown,08-10-2025,16:48.4
11235,AW00011235,Angel,Stewart,Married,Unknown,08-10-2025,16:48.4
11236,AW00011236,Jeremy,Butler,Single,Unknown,08-10-2025,16:48.4
11237,AW00011237,Clarence,Anand,Single,Unknown,08-10-2025,16:48.4
11238,AW00011238,Mayra,Prasad,Single,Unknown,08-10-2025,16:48.4
11239,AW00011239,Latoya,Goel,Married,Unknown,08-10-2025,16:48.4
11240,AW00011240,Anne,Hernandez,Married,Unknown,08-10-2025,16:48.4
11241,AW00011241,Lisa,Cai,Single,Unknown,08-10-2025,16:48.4
11242,AW00011242,Larry,Munoz,Married,Unknown,08-10-2025,16:48.4
11243,AW00011243,Robin,Alvarez,Married,Unknown,08-10-2025,16:48.4
11244,AW00011244,Alexis,Coleman,Single,Unknown,08-10-2025,16:48.4
11245,AW00011245,Ricky,Vazquez,Married,Unknown,08-10-2025,16:48.4
11246,AW00011246,Latasha,Rubio,Married,Unknown,08-10-2025,16:48.4
11247,AW00011247,Claudia,Zhou,Single,Unknown,08-10-2025,16:48.4
11248,AW00011248,Tristan,Alexander,Married,Unknown,08-10-2025,16:48.4
11249,AW00011249,Cindy,Patel,Married,Unknown,08-10-2025,16:48.4
11250,AW00011250,Shannon,Liu,Married,Unknown,08-10-2025,16:48.4
11251,AW00011251,Xavier,Long,Single,Unknown,08-10-2025,16:48.4
11252,AW00011252,Nicholas,Thompson,Single,Unknown,08-10-2025,16:48.4
11253,AW00011253,Jos├⌐,Hernandez,Married,Unknown,08-10-2025,16:48.4
11254,AW00011254,Johnathan,Vance,Married,Unknown,08-10-2025,16:48.4
11255,AW00011255,Colin,Lin,Married,Unknown,08-10-2025,16:48.4
11256,AW00011256,Katelyn,Hernandez,Married,Unknown,08-10-2025,16:48.4
11257,AW00011257,Jacqueline,Powell,Single,Unknown,08-10-2025,16:48.4
11258,AW00011258,Xavier,Hill,Married,Unknown,08-10-2025,16:48.4
11259,AW00011259,Victoria,Stewart,Married,Unknown,08-10-2025,16:48.4
11260,AW00011260,Katelyn,Kelly,Married,Unknown,08-10-2025,16:48.4
11261,AW00011261,Stephanie,Collins,Married,Unknown,08-10-2025,16:48.4
11262,AW00011262,Jennifer,Simmons,Married,Unknown,08-10-2025,16:48.4
11263,AW00011263,Trinity,Richardson,Married,Unknown,08-10-2025,16:48.4
11264,AW00011264,Eduardo,Martin,Single,Unknown,08-10-2025,16:48.4
11265,AW00011265,Elizabeth,Jones,Married,Unknown,08-10-2025,16:48.4
11266,AW00011266,Taylor,Howard,Single,Unknown,08-10-2025,16:48.4
11267,AW00011267,David,Diaz,Single,Unknown,08-10-2025,16:48.4
11268,AW00011268,Katelyn,Carter,Married,Unknown,08-10-2025,16:48.4
11269,AW00011269,Ryan,Foster,Married,Unknown,08-10-2025,16:48.4
11270,AW00011270,Robert,Lee,Married,Unknown,08-10-2025,16:48.4
11271,AW00011271,Danielle,Reed,Single,Unknown,08-10-2025,16:48.4
11272,AW00011272,Lauren,Martinez,Single,Unknown,08-10-2025,16:48.4
11273,AW00011273,Nathan,Lal,Married,Unknown,08-10-2025,16:48.4
11274,AW00011274,Kyle,Foster,Married,Unknown,08-10-2025,16:48.4
11275,AW00011275,Jenny,Rai,Married,Unknown,08-10-2025,16:48.4
11276,AW00011276,Nancy,Chapman,Married,Unknown,08-10-2025,16:48.4
11277,AW00011277,Charles,Jackson,Married,Unknown,08-10-2025,16:48.4
11278,AW00011278,Jonathan,Phillips,Single,Unknown,08-10-2025,16:48.4
11279,AW00011279,Amanda,Cook,Married,Unknown,08-10-2025,16:48.4
11280,AW00011280,Robert,Collins,Married,Unknown,08-10-2025,16:48.4
11281,AW00011281,Megan,Barnes,Single,Unknown,08-10-2025,16:48.4
11282,AW00011282,Christian,Thomas,Married,Unknown,08-10-2025,16:48.4
11283,AW00011283,Arturo,Lal,Married,Unknown,08-10-2025,16:48.4
11284,AW00011284,Theresa,Serrano,Married,Unknown,08-10-2025,16:48.4
11285,AW00011285,Jeremy,Anderson,Married,Unknown,08-10-2025,16:48.4
11286,AW00011286,Hunter,Griffin,Married,Unknown,08-10-2025,16:48.4
11287,AW00011287,Henry,Garcia,Married,Unknown,08-10-2025,16:48.4
11288,AW00011288,Cindy,Sanchez,Married,Unknown,08-10-2025,16:48.4
11289,AW00011289,Maria,Carter,Married,Unknown,08-10-2025,16:48.4
11290,AW00011290,Katelyn,Sanchez,Married,Unknown,08-10-2025,16:48.4
11291,AW00011291,Jenna,Wright,Married,Unknown,08-10-2025,16:48.4
11292,AW00011292,Seth,Phillips,Single,Unknown,08-10-2025,16:48.4
11293,AW00011293,Luke,Long,Single,Unknown,08-10-2025,16:48.4
11294,AW00011294,Dalton,Clark,Married,Unknown,08-10-2025,16:48.4
11295,AW00011295,Taylor,Lewis,Single,Unknown,08-10-2025,16:48.4
11296,AW00011296,Haley,Richardson,Single,Unknown,08-10-2025,16:48.4
11297,AW00011297,Noah,Coleman,Single,Unknown,08-10-2025,16:48.4
11298,AW00011298,Jon,Luo,Married,Unknown,08-10-2025,16:48.4
11299,AW00011299,Orlando,Vazquez,Married,Unknown,08-10-2025,16:48.4
11300,AW00011300,Fernando,Barnes,Married,Unknown,08-10-2025,16:48.4
11301,AW00011301,Cameron,Rodriguez,Married,Unknown,08-10-2025,16:48.4
11302,AW00011302,Spencer,Russell,Single,Unknown,08-10-2025,16:48.4
11303,AW00011303,Julia,Coleman,Single,Unknown,08-10-2025,16:48.4
11304,AW00011304,Julia,Garcia,Married,Unknown,08-10-2025,16:48.4
11305,AW00011305,Sean,Evans,Married,Unknown,08-10-2025,16:48.4
11306,AW00011306,Micah,Zhou,Married,Unknown,08-10-2025,16:48.4
11307,AW00011307,Hunter,Rodriguez,Married,Unknown,08-10-2025,16:48.4
11308,AW00011308,Ian,Gonzales,Married,Unknown,08-10-2025,16:48.4
11309,AW00011309,Victoria,Lewis,Single,Unknown,08-10-2025,16:48.4
11310,AW00011310,Erin,Sanders,Single,Unknown,08-10-2025,16:48.4
11311,AW00011311,Gabrielle,Lopez,Single,Unknown,08-10-2025,16:48.4
11312,AW00011312,Sara,Richardson,Single,Unknown,08-10-2025,16:48.4
11313,AW00011313,Trevor,Jenkins,Single,Unknown,08-10-2025,16:48.4
11314,AW00011314,Mya,Flores,Single,Unknown,08-10-2025,16:48.4
11315,AW00011315,Hailey,Ward,Single,Unknown,08-10-2025,16:48.4
11316,AW00011316,Luke,Allen,Married,Unknown,08-10-2025,16:48.4
11317,AW00011317,Victoria,Russell,Single,Unknown,08-10-2025,16:48.4
11318,AW00011318,Jessica,Wilson,Single,Unknown,08-10-2025,16:48.4
11319,AW00011319,Jade,Bailey,Married,Unknown,08-10-2025,16:48.4
11320,AW00011320,Morgan,Hill,Married,Unknown,08-10-2025,16:48.4
11321,AW00011321,Terrance,Raman,Married,Unknown,08-10-2025,16:48.4
11322,AW00011322,Sydney,Garcia,Married,Unknown,08-10-2025,16:48.4
11323,AW00011323,Jose,Patterson,Single,Unknown,08-10-2025,16:48.4
11324,AW00011324,Zachary,Anderson,Married,Unknown,08-10-2025,16:48.4
11325,AW00011325,Elijah,Ross,Single,Unknown,08-10-2025,16:48.4
11326,AW00011326,Rafael,Xie,Married,Unknown,08-10-2025,16:48.4
11327,AW00011327,Jaime,Moreno,Married,Unknown,08-10-2025,16:48.4
11328,AW00011328,Julian,Griffin,Married,Unknown,08-10-2025,16:48.4
11329,AW00011329,Andy,Alvarez,Single,Unknown,08-10-2025,16:48.4
11330,AW00011330,Ryan,Thompson,Married,Unknown,08-10-2025,16:48.4
11331,AW00011331,Samantha,Jenkins,Married,Unknown,08-10-2025,16:48.4
11332,AW00011332,Deanna,Ramos,Single,Unknown,08-10-2025,16:48.4
11333,AW00011333,Emily,Miller,Married,Unknown,08-10-2025,16:48.4
11334,AW00011334,Nicole,Brown,Married,Unknown,08-10-2025,16:48.4
11335,AW00011335,Carla,Raman,Married,Unknown,08-10-2025,16:48.4
11336,AW00011336,Shaun,Raji,Married,Unknown,08-10-2025,16:48.4
11337,AW00011337,Jerome,Romero,Married,Unknown,08-10-2025,16:48.4
11338,AW00011338,Frank,Navarro,Married,Unknown,08-10-2025,16:48.4
11339,AW00011339,Dennis,She,Single,Unknown,08-10-2025,16:48.4
11340,AW00011340,Melody,Munoz,Married,Unknown,08-10-2025,16:48.4
11341,AW00011341,Randy,Zeng,Married,Unknown,08-10-2025,16:48.4
11342,AW00011342,Marshall,Wang,Married,Unknown,08-10-2025,16:48.4
11343,AW00011343,Arthur,Carlson,Married,Unknown,08-10-2025,16:48.4
11344,AW00011344,Jessie,Jimenez,Married,Unknown,08-10-2025,16:48.4
11345,AW00011345,Robin,Ramos,Single,Unknown,08-10-2025,16:48.4
11346,AW00011346,Deanna,Gutierrez,Single,Unknown,08-10-2025,16:48.4
11347,AW00011347,Roy,Navarro,Married,Unknown,08-10-2025,16:48.4
11348,AW00011348,Shawn,Rai,Married,Unknown,08-10-2025,16:48.4
11349,AW00011349,Mindy,Luo,Married,Unknown,08-10-2025,16:48.4
11350,AW00011350,Cara,Zhou,Married,Unknown,08-10-2025,16:48.4
11351,AW00011351,Anne,Ramos,Single,Unknown,08-10-2025,16:48.4
11352,AW00011352,Raymond,Rodriguez,Married,Unknown,08-10-2025,16:48.4
11353,AW00011353,Carrie,Ortega,Single,Unknown,08-10-2025,16:48.4
11354,AW00011354,Deanna,Suarez,Married,Unknown,08-10-2025,16:48.4
11355,AW00011355,Roberto,Gutierrez,Married,Unknown,08-10-2025,16:48.4
11356,AW00011356,Terrence,Carson,Single,Unknown,08-10-2025,16:48.4
11357,AW00011357,Ramon,Ye,Single,Unknown,08-10-2025,16:48.4
